"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Jackson County, MO","County or equivalent",674158,795,974,2390,1416,-171,274,-445,-8
"Lafayette County, MO","County or equivalent",33381,25,0,96,96,26,3,23,-1
"Platte County, MO","County or equivalent",89322,404,153,288,135,248,31,217,3
"Ray County, MO","County or equivalent",23494,-33,-10,62,72,-22,0,-22,-1
"Kennewick-Pasco-Richland, WA","Metropolitan Statistical Area",253340,2347,674,1048,374,1635,138,1497,38
"Benton County, WA","County or equivalent",175177,1295,339,629,290,935,66,869,21
"Franklin County, WA","County or equivalent",78163,1052,335,419,84,700,72,628,17
"Killeen-Temple-Fort Hood, TX","Metropolitan Statistical Area",405300,2967,1215,1798,583,1715,679,1036,37
"Bell County, TX","County or equivalent",310235,2624,1036,1500,464,1553,473,1080,35
"Coryell County, TX","County or equivalent",75388,281,158,246,88,121,197,-76,2
"Lampasas County, TX","County or equivalent",19677,62,21,52,31,41,9,32,0
"Kingsport-Bristol-Bristol, TN-VA","Metropolitan Statistical Area",309544,75,-123,755,878,216,28,188,-18
"Hawkins County, TN","County or equivalent",56833,34,-15,140,155,52,6,46,-3
"Sullivan County, TN","County or equivalent",156823,32,-50,388,438,92,14,78,-10
"Scott County, VA","County or equivalent",23177,-6,-22,55,77,19,3,16,-3
"Washington County, VA","County or equivalent",54876,25,-26,121,147,52,5,47,-1
"Bristol city, VA","County or equivalent",17835,-10,-10,51,61,1,0,1,-1
"Kingston, NY","Metropolitan Statistical Area",182493,-23,46,404,358,-65,78,-143,-4
"Ulster County, NY","County or equivalent",182493,-23,46,404,358,-65,78,-143,-4
"Knoxville, TN","Metropolitan Statistical Area",698030,1228,370,2011,1641,870,195,675,-12
"Anderson County, TN","County or equivalent",75129,-1,-22,190,212,25,11,14,-4
"Blount County, TN","County or equivalent",123010,150,32,321,289,125,27,98,-7
"Knox County, TN","County or equivalent",432226,873,356,1314,958,518,144,374,-1
"Loudon County, TN","County or equivalent",48556,227,5,135,130,222,12,210,0
"Union County, TN","County or equivalent",19109,-21,-1,51,52,-20,1,-21,0
"Kokomo, IN","Metropolitan Statistical Area",98688,-43,20,271,251,-59,14,-73,-4
"Howard County, IN","County or equivalent",82752,4,24,241,217,-16,12,-28,-4
"Tipton County, IN","County or equivalent",15936,-47,-4,30,34,-43,2,-45,0
